No.,回答日,名前,年齢,性別,お住まいの地域,食事は１日平均何回ですか,毎朝朝食をとりますか,睡眠時間は平均どのくらいですか,健康には気を使うほうですか,健康食品を利用していますか,最も利用している健康食品の商品名を記入してください,サプリメントは利用しますか,意識して摂取している栄養成分を複数選択してください_亜鉛,意識して摂取している栄養成分を複数選択してください_カルシウム,意識して摂取している栄養成分を複数選択してください_鉄,意識して摂取している栄養成分を複数選択してください_銅,意識して摂取している栄養成分を複数選択してください_マグネシウム,意識して摂取している栄養成分を複数選択してください_ナイアシン,意識して摂取している栄養成分を複数選択してください_パントテン酸,意識して摂取している栄養成分を複数選択してください_ビオチン,意識して摂取している栄養成分を複数選択してください_ビタミンＡ,意識して摂取している栄養成分を複数選択してください_β－カロテン（ビタミンＡの前駆体）,意識して摂取している栄養成分を複数選択してください_ビタミンＢ1,意識して摂取している栄養成分を複数選択してください_ビタミンＢ2,意識して摂取している栄養成分を複数選択してください_ビタミンＢ6,意識して摂取している栄養成分を複数選択してください_ビタミンＢ12,意識して摂取している栄養成分を複数選択してください_ビタミンＣ,意識して摂取している栄養成分を複数選択してください_ビタミンＤ,意識して摂取している栄養成分を複数選択してください_ビタミンＥ,意識して摂取している栄養成分を複数選択してください_葉酸,意識して摂取している栄養成分を複数選択してください_その他
20,13:59.5,徳久 菜月,13,女性,岩手県,1回,はい,5時間～7時間未満,いいえ,いいえ,,はい,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
21,30:51.8,竹田 美穂,61,女性,長野県,3回,いいえ,1時間未満,はい,はい,ブレンディコーヒーオリゴ糖入りボトルコーヒー,いいえ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
22,42:37.0,松戸 彩香,63,女性,宮城県,2回,いいえ,3時間～5時間未満,いいえ,いいえ,,はい,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
23,00:26.6,山県 達也,37,男性,滋賀県,2回,いいえ,3時間～5時間未満,はい,いいえ,,いいえ,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
24,46:11.2,野路 匠,34,男性,京都府,3回,いいえ,1時間～3時間未満,はい,はい,日清おいしさプラス サイリウムコーンフレーク プレーン,はい,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
25,05:01.5,竹谷 大貴,51,男性,栃木県,3回,はい,9時間以上,いいえ,はい,ピュアセレクトサラリア,いいえ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
26,01:20.6,淵上 さくら,39,女性,宮崎県,1回,はい,7時間～9時間未満,はい,いいえ,,いいえ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
27,09:28.4,小久保 直樹,78,男性,青森県,3回,いいえ,9時間以上,はい,はい,キリン コレステミン,はい,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
28,16:55.9,溝部 優太,20,男性,北海道,4回以上,はい,1時間未満,はい,いいえ,,はい,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
29,13:55.5,小平 竜也,39,男性,新潟県,4回以上,いいえ,3時間～5時間未満,はい,はい,水々しあ,はい,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
30,28:13.4,木戸口 智也,63,男性,山形県,1回,いいえ,7時間～9時間未満,いいえ,はい,毎朝爽快,いいえ,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
31,07:03.9,印南 拓也,88,男性,群馬県,3回,はい,7時間～9時間未満,いいえ,いいえ,,はい,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
32,50:34.9,小室 あゆみ,53,女性,山梨県,2回,はい,3時間～5時間未満,いいえ,いいえ,,いいえ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
33,14:02.6,大曽根 彩香,30,女性,岡山県,4回以上,いいえ,3時間～5時間未満,いいえ,いいえ,,はい,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
34,30:39.5,大出 葵,28,女性,広島県,4回以上,いいえ,1時間～3時間未満,いいえ,はい,ＡＧＦ ビタホット,いいえ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
35,28:53.5,秋山 和也,30,男性,三重県,1回,いいえ,9時間以上,はい,はい,サーディンサポート,いいえ,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
36,47:18.3,浜松 成美,65,女性,山梨県,2回,いいえ,5時間～7時間未満,いいえ,いいえ,,はい,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
37,46:09.3,亀崎 健太,62,男性,長崎県,1回,いいえ,3時間～5時間未満,はい,はい,プリン,いいえ,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
38,03:40.1,笹部 美穂,20,女性,富山県,2回,はい,1時間未満,はい,はい,日清おいしさプラス キトサンヌードル しょうゆ味,いいえ,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
39,07:00.3,渡瀬 達也,73,男性,長崎県,1回,いいえ,5時間～7時間未満,はい,いいえ,,いいえ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
40,32:41.8,横道 葵,29,女性,和歌山県,4回以上,いいえ,9時間以上,いいえ,はい,ブレンディコーヒーオリゴ糖入りインスタントコーヒー,はい,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
41,35:28.3,大浜 蓮,75,男性,神奈川県,1回,はい,1時間未満,はい,いいえ,,はい,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
42,11:22.6,稲山 優花,29,女性,兵庫県,4回以上,いいえ,3時間～5時間未満,はい,はい,京優膳　合わせみそ,はい,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
43,45:46.0,木嶋 麻衣子,21,女性,神奈川県,4回以上,いいえ,5時間～7時間未満,はい,いいえ,,はい,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
44,36:01.9,矢嶋 佳奈,86,女性,福井県,3回,いいえ,7時間～9時間未満,いいえ,いいえ,,はい,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
45,05:47.2,三木 麻衣,86,女性,秋田県,3回,いいえ,5時間～7時間未満,はい,はい,鶏の唐揚げ,はい,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
46,21:51.8,前野 陸,16,男性,滋賀県,1回,いいえ,1時間未満,いいえ,はい,日清おいしさプラス サイリウムドリンク,いいえ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
47,08:54.6,三橋 琴音,29,女性,沖縄県,2回,いいえ,5時間～7時間未満,いいえ,いいえ,,いいえ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
48,03:18.6,三戸 奈々,57,女性,福岡県,3回,いいえ,3時間～5時間未満,いいえ,いいえ,,はい,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
49,23:57.1,村本 美咲,23,女性,東京都,4回以上,いいえ,3時間～5時間未満,はい,はい,日清おいしさプラス　サイリウムコーンフレーク,はい,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
50,23:39.4,楠見 瞳,57,女性,沖縄県,4回以上,はい,1時間未満,いいえ,はい,ベストメント,いいえ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
51,55:16.4,最上 翔平,24,男性,群馬県,3回,はい,9時間以上,いいえ,いいえ,,はい,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
52,22:44.7,江端 早紀,70,女性,熊本県,2回,いいえ,1時間未満,いいえ,はい,クラッシュタイプの蒟蒻畑ライト,はい,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
53,35:29.0,辻口 玲奈,42,女性,和歌山県,3回,はい,3時間～5時間未満,はい,いいえ,,いいえ,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
54,33:54.4,西浦 結衣,86,女性,宮崎県,1回,いいえ,9時間以上,はい,はい,キリンコレステミンアップル味 ８袋,いいえ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
55,20:45.6,漆原 大貴,58,男性,長野県,3回,はい,5時間～7時間未満,いいえ,はい,京優　春雨スープ,いいえ,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
56,34:16.7,税所 達也,29,男性,大分県,3回,はい,5時間～7時間未満,いいえ,いいえ,,いいえ,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
57,09:14.5,茅原 桃子,90,女性,広島県,1回,はい,3時間～5時間未満,はい,いいえ,,いいえ,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
58,50:29.0,北園 彩乃,50,女性,香川県,3回,いいえ,9時間以上,はい,はい,明治ブルガリアヨーグルトLB81,はい,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
59,53:56.7,八塚 雄大,66,男性,鳥取県,4回以上,はい,9時間以上,はい,いいえ,,はい,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
60,40:03.3,紺野 由佳,41,女性,福岡県,4回以上,いいえ,3時間～5時間未満,いいえ,はい,大豆芽茶（だいずがちゃ）,はい,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
61,16:27.4,虻川 祐介,34,男性,栃木県,2回,いいえ,7時間～9時間未満,いいえ,はい,キシリトール・ガム,はい,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
62,39:39.0,額田 あゆみ,19,女性,静岡県,4回以上,いいえ,1時間～3時間未満,いいえ,いいえ,,いいえ,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
63,42:49.6,大類 成美,84,女性,岡山県,1回,いいえ,1時間～3時間未満,はい,いいえ,,いいえ,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
64,00:29.8,平井 遙,65,女性,北海道,2回,いいえ,7時間～9時間未満,はい,はい,日清おいしさプラス サイリウムコーンフレーク プレーン,はい,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
65,43:21.7,金澤 翔,58,男性,福井県,3回,いいえ,5時間～7時間未満,いいえ,はい,キリン コレステミン　アセロラ味,はい,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
66,34:44.0,神永 智也,65,男性,三重県,1回,いいえ,1時間～3時間未満,いいえ,はい,松谷のおみそ汁 赤だし,いいえ,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
67,13:04.6,岩館 遥,36,女性,宮城県,3回,いいえ,1時間～3時間未満,はい,いいえ,,いいえ,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
68,09:17.0,早崎 由佳,19,女性,神奈川県,1回,いいえ,9時間以上,はい,いいえ,,はい,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
69,16:52.9,中野渡 大地,43,男性,東京都,2回,はい,5時間～7時間未満,はい,はい,ファイバーチョキレU,はい,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
70,29:22.8,大熊 優,22,男性,埼玉県,2回,はい,7時間～9時間未満,いいえ,はい,ビーフカットステーキ幕の内弁当,はい,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
71,27:22.6,関田 涼太,75,男性,山口県,1回,いいえ,5時間～7時間未満,いいえ,いいえ,,はい,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
72,30:59.9,白尾 麻美,52,女性,青森県,3回,いいえ,5時間～7時間未満,いいえ,いいえ,,いいえ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
73,25:52.0,野崎 菜月,29,女性,石川県,4回以上,はい,3時間～5時間未満,いいえ,はい,日清おいしさプラス　サイリウムコーンフレーク　セミスィート,はい,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
74,24:31.2,津金 雄大,31,男性,岐阜県,1回,はい,9時間以上,いいえ,いいえ,,いいえ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
75,50:56.5,二木 雄大,80,男性,奈良県,1回,はい,7時間～9時間未満,いいえ,はい,キリン コレステミン,はい,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
76,20:31.7,晴山 詩織,56,女性,島根県,2回,はい,3時間～5時間未満,はい,はい,「ビタホット」ハニーレモンC,はい,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
77,28:51.4,横森 翔,32,男性,宮崎県,3回,はい,9時間以上,いいえ,はい,特製ソーセージ＆ポテトフライ,いいえ,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
78,42:47.5,初田 香織,25,女性,石川県,2回,いいえ,9時間以上,はい,いいえ,,はい,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
79,50:49.1,門間 亮,40,男性,京都府,4回以上,いいえ,7時間～9時間未満,はい,はい,ピュアラピーチ,いいえ,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
80,15:02.5,栗崎 舞,14,女性,茨城県,1回,はい,1時間未満,いいえ,いいえ,,はい,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
