回答日,名前,年齢,性別,お住まいの地域,食事は１日平均何回ですか,毎朝朝食をとりますか,睡眠時間は平均どのくらいですか,健康には気を使うほうですか,健康食品を利用していますか,最も利用している健康食品の商品名を記入してください,サプリメントは利用しますか,意識して摂取している栄養成分を複数選択してください_亜鉛,意識して摂取している栄養成分を複数選択してください_カルシウム,意識して摂取している栄養成分を複数選択してください_鉄,意識して摂取している栄養成分を複数選択してください_銅,意識して摂取している栄養成分を複数選択してください_マグネシウム,意識して摂取している栄養成分を複数選択してください_ナイアシン,意識して摂取している栄養成分を複数選択してください_パントテン酸,意識して摂取している栄養成分を複数選択してください_ビオチン,意識して摂取している栄養成分を複数選択してください_ビタミンＡ,意識して摂取している栄養成分を複数選択してください_β－カロテン（ビタミンＡの前駆体）,意識して摂取している栄養成分を複数選択してください_ビタミンＢ1,意識して摂取している栄養成分を複数選択してください_ビタミンＢ2,意識して摂取している栄養成分を複数選択してください_ビタミンＢ6,意識して摂取している栄養成分を複数選択してください_ビタミンＢ12,意識して摂取している栄養成分を複数選択してください_ビタミンＣ,意識して摂取している栄養成分を複数選択してください_ビタミンＤ,意識して摂取している栄養成分を複数選択してください_ビタミンＥ,意識して摂取している栄養成分を複数選択してください_葉酸,意識して摂取している栄養成分を複数選択してください_その他
2009/03/18 01:32:41.835,横道 葵,29,女性,和歌山県,4回以上,いいえ,9時間以上,いいえ,はい,ブレンディコーヒーオリゴ糖入りインスタントコーヒー,はい,false,true,false,true,true,false,true,false,false,false,true,true,true,true,false,false,false,true,false
2011/09/15 18:35:28.331,大浜 蓮,75,男性,神奈川県,1回,はい,1時間未満,はい,いいえ,,はい,true,false,false,true,false,true,false,false,true,false,true,true,true,true,true,false,false,true,true
2011/05/12 22:11:22.633,稲山 優花,29,女性,兵庫県,4回以上,いいえ,3時間～5時間未満,はい,はい,京優膳　合わせみそ,はい,false,false,false,true,true,false,true,false,false,true,false,false,true,true,true,true,false,false,true
2011/04/28 07:45:45.957,木嶋 麻衣子,21,女性,神奈川県,4回以上,いいえ,5時間～7時間未満,はい,いいえ,,はい,false,false,true,false,true,false,false,false,true,false,true,false,false,false,true,true,false,false,true
2008/12/30 00:36:01.853,矢嶋 佳奈,86,女性,福井県,3回,いいえ,7時間～9時間未満,いいえ,いいえ,,はい,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
2010/07/30 21:05:47.191,三木 麻衣,86,女性,秋田県,3回,いいえ,5時間～7時間未満,はい,はい,鶏の唐揚げ,はい,false,false,true,false,false,true,false,true,false,true,true,true,false,true,false,false,false,true,false
2009/02/18 04:21:51.820,前野 陸,16,男性,滋賀県,1回,いいえ,1時間未満,いいえ,はい,日清おいしさプラス サイリウムドリンク,いいえ,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false,true,false,false,true
2010/04/07 21:08:54.574,三橋 琴音,29,女性,沖縄県,2回,いいえ,5時間～7時間未満,いいえ,いいえ,,いいえ,true,true,false,false,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false
2010/09/07 14:03:18.603,三戸 奈々,57,女性,福岡県,3回,いいえ,3時間～5時間未満,いいえ,いいえ,,はい,true,false,false,false,true,false,false,true,true,true,false,true,true,true,false,true,false,false,false
2009/08/19 09:23:57.100,村本 美咲,23,女性,東京都,4回以上,いいえ,3時間～5時間未満,はい,はい,日清おいしさプラス　サイリウムコーンフレーク,はい,false,true,true,false,false,true,true,false,false,false,false,true,false,false,true,false,true,true,false
2011/08/05 08:23:39.433,楠見 瞳,57,女性,沖縄県,4回以上,はい,1時間未満,いいえ,はい,ベストメント,いいえ,true,false,true,false,false,false,true,false,true,false,false,true,false,true,true,false,false,true,true
2009/11/21 17:55:16.366,最上 翔平,24,男性,群馬県,3回,はい,9時間以上,いいえ,いいえ,,はい,false,false,true,true,true,true,false,true,false,true,false,true,false,true,false,false,false,false,false
2010/03/26 16:22:44.724,江端 早紀,70,女性,熊本県,2回,いいえ,1時間未満,いいえ,はい,クラッシュタイプの蒟蒻畑ライト,はい,false,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,false,false,false
2010/07/28 23:35:28.980,辻口 玲奈,42,女性,和歌山県,3回,はい,3時間～5時間未満,はい,いいえ,,いいえ,true,false,true,true,true,true,true,false,false,false,false,false,true,false,false,true,true,false,false
2009/12/09 06:33:54.417,西浦 結衣,86,女性,宮崎県,1回,いいえ,9時間以上,はい,はい,キリンコレステミンアップル味 ８袋,いいえ,false,false,true,true,false,false,false,true,true,false,false,false,false,false,false,true,false,true,true
2010/11/05 14:20:45.629,漆原 大貴,58,男性,長野県,3回,はい,5時間～7時間未満,いいえ,はい,京優　春雨スープ,いいえ,false,false,false,true,true,true,false,false,false,true,false,true,true,true,false,true,true,false,true
2009/10/13 14:34:16.738,税所 達也,29,男性,大分県,3回,はい,5時間～7時間未満,いいえ,いいえ,,いいえ,true,true,true,true,false,true,true,false,false,false,true,true,false,false,false,true,true,true,false
2010/12/21 04:09:14.541,茅原 桃子,90,女性,広島県,1回,はい,3時間～5時間未満,はい,いいえ,,いいえ,true,true,true,true,false,true,true,false,false,true,false,false,true,true,false,false,true,true,true
2008/12/16 00:50:29.012,北園 彩乃,50,女性,香川県,3回,いいえ,9時間以上,はい,はい,明治ブルガリアヨーグルトLB81,はい,false,false,false,true,true,true,false,false,false,true,true,false,true,false,true,true,true,true,false
2009/08/03 19:53:56.720,八塚 雄大,66,男性,鳥取県,4回以上,はい,9時間以上,はい,いいえ,,はい,true,true,true,true,true,true,false,true,false,false,false,false,true,false,true,true,false,true,true
2010/11/26 11:40:03.340,紺野 由佳,41,女性,福岡県,4回以上,いいえ,3時間～5時間未満,いいえ,はい,大豆芽茶（だいずがちゃ）,はい,true,true,true,false,false,false,true,false,true,true,false,true,false,false,false,true,false,true,true
2010/05/05 03:16:27.424,虻川 祐介,34,男性,栃木県,2回,いいえ,7時間～9時間未満,いいえ,はい,キシリトール・ガム,はい,false,true,false,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false
2011/01/23 22:39:39.030,額田 あゆみ,19,女性,静岡県,4回以上,いいえ,1時間～3時間未満,いいえ,いいえ,,いいえ,false,true,false,false,true,false,false,false,true,true,false,true,false,true,false,false,false,true,false
2009/04/02 10:42:49.632,大類 成美,84,女性,岡山県,1回,いいえ,1時間～3時間未満,はい,いいえ,,いいえ,false,true,false,true,false,true,false,false,false,true,false,false,true,true,true,true,true,true,true
2009/04/15 21:00:29.811,平井 遙,65,女性,北海道,2回,いいえ,7時間～9時間未満,はい,はい,日清おいしさプラス サイリウムコーンフレーク プレーン,はい,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,true,true,true,true
2009/03/22 07:43:21.684,金澤 翔,58,男性,福井県,3回,いいえ,5時間～7時間未満,いいえ,はい,キリン コレステミン　アセロラ味,はい,true,false,true,false,false,false,false,true,false,true,false,true,false,true,true,false,true,true,false
2009/01/27 02:34:43.994,神永 智也,65,男性,三重県,1回,いいえ,1時間～3時間未満,いいえ,はい,松谷のおみそ汁 赤だし,いいえ,true,true,true,false,true,true,false,true,false,false,true,false,true,true,true,false,false,false,true
2010/08/29 17:13:04.640,岩館 遥,36,女性,宮城県,3回,いいえ,1時間～3時間未満,はい,いいえ,,いいえ,false,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,false
2010/02/20 03:09:16.990,早崎 由佳,19,女性,神奈川県,1回,いいえ,9時間以上,はい,いいえ,,はい,true,true,true,false,true,false,false,true,false,true,false,true,true,true,false,false,true,true,false
2010/07/05 17:16:52.851,中野渡 大地,43,男性,東京都,2回,はい,5時間～7時間未満,はい,はい,ファイバーチョキレU,はい,false,true,true,true,false,true,false,true,true,false,false,true,true,true,true,false,true,false,false
2010/08/01 18:29:22.817,大熊 優,22,男性,埼玉県,2回,はい,7時間～9時間未満,いいえ,はい,ビーフカットステーキ幕の内弁当,はい,false,false,false,true,false,true,true,false,false,false,true,false,true,false,true,true,false,false,true
2008/10/30 01:27:22.556,関田 涼太,75,男性,山口県,1回,いいえ,5時間～7時間未満,いいえ,いいえ,,はい,true,true,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,true,false
2011/07/03 11:30:59.877,白尾 麻美,52,女性,青森県,3回,いいえ,5時間～7時間未満,いいえ,いいえ,,いいえ,true,true,true,false,false,true,true,false,false,false,false,true,true,false,false,true,true,true,false
2010/12/14 16:25:51.978,野崎 菜月,29,女性,石川県,4回以上,はい,3時間～5時間未満,いいえ,はい,日清おいしさプラス　サイリウムコーンフレーク　セミスィート,はい,false,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false,true,true
2010/05/27 15:24:31.165,津金 雄大,31,男性,岐阜県,1回,はい,9時間以上,いいえ,いいえ,,いいえ,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,true
2009/12/11 16:50:56.465,二木 雄大,80,男性,奈良県,1回,はい,7時間～9時間未満,いいえ,はい,キリン コレステミン,はい,true,true,true,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,true
2009/01/14 22:20:31.706,晴山 詩織,56,女性,島根県,2回,はい,3時間～5時間未満,はい,はい,「ビタホット」ハニーレモンC,はい,false,false,false,true,false,false,false,false,true,true,false,false,true,true,true,false,true,true,false
2011/04/16 06:28:51.384,横森 翔,32,男性,宮崎県,3回,はい,9時間以上,いいえ,はい,特製ソーセージ＆ポテトフライ,いいえ,true,true,false,false,true,true,false,true,true,false,false,true,true,false,false,true,true,true,false
2010/02/12 01:42:47.485,初田 香織,25,女性,石川県,2回,いいえ,9時間以上,はい,いいえ,,はい,true,true,false,true,true,false,true,false,false,false,false,true,true,true,true,false,false,true,true
2010/01/13 14:50:49.096,門間 亮,40,男性,京都府,4回以上,いいえ,7時間～9時間未満,はい,はい,ピュアラピーチ,いいえ,false,true,true,false,false,true,true,true,false,true,true,false,true,true,true,false,false,false,false
2010/11/08 15:15:02.517,栗崎 舞,14,女性,茨城県,1回,はい,1時間未満,いいえ,いいえ,,はい,false,false,false,true,false,true,true,false,true,true,false,true,false,true,true,true,true,false,false
2009/05/23 11:12:14.235,三田村 裕子,31,女性,熊本県,2回,はい,5時間～7時間未満,はい,はい,リカルデント,いいえ,false,true,false,true,false,false,true,false,true,false,true,true,false,true,false,true,false,true,true
2008/12/24 01:13:25.763,稲川 千尋,48,女性,香川県,1回,はい,9時間以上,いいえ,いいえ,,いいえ,false,true,true,false,true,false,false,false,false,false,true,true,false,true,true,false,false,false,false
2011/06/03 02:50:59.073,比留間 大地,30,男性,福岡県,1回,いいえ,3時間～5時間未満,いいえ,はい,ソフールプレーン,はい,false,false,false,true,true,false,true,true,false,true,true,true,true,true,false,false,false,true,false
2011/03/01 16:30:14.553,塩野 智也,17,男性,福井県,4回以上,いいえ,1時間未満,いいえ,いいえ,,いいえ,true,true,true,false,false,true,true,false,false,true,false,false,true,false,true,false,true,true,true
2009/09/16 02:09:29.031,赤木 大樹,75,男性,京都府,2回,はい,5時間～7時間未満,はい,はい,パインファイバー,いいえ,false,true,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false,true,true
2011/03/30 04:52:10.400,垣花 美穂,29,女性,佐賀県,4回以上,いいえ,9時間以上,はい,いいえ,,いいえ,true,true,false,true,true,false,false,false,true,false,false,true,false,false,true,false,false,true,false
2011/09/11 15:12:45.716,田熊 明日香,12,女性,山口県,3回,はい,5時間～7時間未満,はい,はい,キリンコレステミン,いいえ,false,true,true,false,true,true,false,false,true,true,true,false,true,false,true,false,false,true,false
2010/08/20 18:47:44.903,沼 優花,32,女性,熊本県,4回以上,はい,5時間～7時間未満,いいえ,はい,スペシャルグリル・ボリューム弁当,はい,true,true,false,false,false,true,false,false,false,true,true,true,true,false,true,false,false,true,false
2010/12/23 07:17:27.089,森永 蓮,60,男性,北海道,2回,いいえ,9時間以上,いいえ,いいえ,,はい,true,true,true,false,false,false,true,false,false,false,true,false,true,true,false,false,false,false,true
2011/01/01 22:49:24.369,江上 美咲,44,女性,新潟県,2回,いいえ,1時間未満,はい,はい,ほね元気　ひきわり,はい,true,false,false,false,false,true,true,false,true,true,true,false,true,true,false,true,false,true,false
2009/07/24 21:14:36.709,衛藤 大輝,11,男性,青森県,3回,いいえ,5時間～7時間未満,いいえ,いいえ,,はい,true,false,false,false,false,true,true,false,false,true,false,false,true,true,true,false,false,true,false
2009/04/10 16:05:09.892,桑江 匠,85,男性,宮崎県,3回,はい,7時間～9時間未満,いいえ,いいえ,,いいえ,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,false,false,true,true
2011/01/06 04:56:58.883,倉本 和也,33,男性,大分県,4回以上,はい,9時間以上,はい,いいえ,,いいえ,false,false,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true
2010/01/30 15:17:35.788,西嶋 彩夏,47,女性,石川県,4回以上,いいえ,1時間未満,いいえ,いいえ,,はい,true,false,false,false,true,false,true,false,false,true,true,true,false,false,false,true,false,true,false
2010/07/08 20:11:06.018,岩波 大樹,50,男性,福井県,3回,はい,3時間～5時間未満,いいえ,はい,キシリトール・ガム,はい,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,false,false
2010/01/14 22:33:37.076,滝山 彩香,88,女性,大阪府,2回,いいえ,5時間～7時間未満,いいえ,いいえ,,いいえ,true,false,false,false,true,true,true,false,false,false,false,true,true,true,false,false,true,false,false
2009/10/16 22:48:21.786,牧 裕子,78,女性,和歌山県,4回以上,はい,1時間～3時間未満,はい,はい,日清おいしさプラスサイリウムドリンク,はい,true,true,false,false,false,true,true,true,false,false,true,true,false,false,false,false,true,true,false
2011/09/05 01:57:55.463,矢木 桃子,35,女性,兵庫県,4回以上,いいえ,9時間以上,はい,いいえ,,はい,false,false,false,true,false,false,true,true,true,true,true,false,true,false,false,false,true,true,false
2010/01/02 13:36:09.423,田野 あゆみ,17,女性,茨城県,4回以上,いいえ,7時間～9時間未満,はい,はい,ゴマペプ茶,いいえ,false,false,true,false,false,false,true,false,false,true,true,true,false,true,true,false,false,true,false
2011/07/15 20:44:18.179,内 智美,78,女性,岩手県,2回,いいえ,5時間～7時間未満,いいえ,はい,日清おいしさプラスサイリウムコーンフレーク,いいえ,true,false,true,false,false,true,true,true,false,true,false,true,true,false,false,false,false,false,true
2010/01/02 16:55:20.143,坂尾 拓也,84,男性,兵庫県,3回,いいえ,7時間～9時間未満,はい,はい,からだサポートごはん,はい,false,false,true,false,true,false,true,true,true,false,false,false,false,true,true,true,true,false,false
2011/01/11,三沢 拓海,18,男性,石川県,4回以上,はい,,はい,いいえ,,いいえ,true,true,false,true,false,true,false,false,false,true,false,true,false,false,true,true,true,false,true
2008/12/30 10:09:43.395,多々良 麻衣子,21,女性,富山県,3回,はい,7時間～9時間未満,いいえ,はい,日清おいしさプラス　サイリウムドリンク　グレープフルーツ,いいえ,true,true,true,true,false,true,false,false,true,false,false,false,true,true,false,false,false,true,true
2010/01/23 00:19:55.890,藤崎 陸,10,男性,山口県,4回以上,はい,9時間以上,はい,はい,健康サララ,はい,true,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false,false,true
2009/01/24 19:53:09.063,鮫島 彩乃,20,女性,東京都,3回,はい,1時間～3時間未満,はい,はい,ペプチドおみそ汁,いいえ,false,true,true,true,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false
2011/06/15 14:29:15.761,熊本 洋平,11,男性,秋田県,3回,はい,1時間未満,はい,いいえ,,いいえ,true,true,false,true,false,true,false,false,false,true,false,true,true,false,false,true,true,false,false
2010/05/07 21:07:51.611,古口 舞,73,女性,福井県,2回,はい,7時間～9時間未満,はい,いいえ,,いいえ,true,true,true,false,false,true,true,false,false,true,true,true,false,false,false,true,true,true,false
2009/08/16 01:56:08.297,大浜 優,75,男性,三重県,4回以上,いいえ,1時間～3時間未満,はい,いいえ,,いいえ,false,true,false,false,true,true,true,true,true,false,true,false,true,false,true,false,false,false,true
2009/12/18 04:46:05.744,葛谷 海斗,16,男性,山梨県,2回,いいえ,7時間～9時間未満,はい,はい,ファイバー食パン 爽快健美,いいえ,false,true,false,true,true,true,false,true,true,true,true,false,true,false,false,false,true,true,false
2009/12/01 04:33:07.316,前原 麻衣子,20,女性,岡山県,1回,いいえ,7時間～9時間未満,はい,いいえ,,はい,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false,true,true,false,true
2010/09/24 04:30:56.276,岩松 麻衣,16,女性,京都府,3回,いいえ,1時間～3時間未満,いいえ,いいえ,,はい,true,true,true,true,false,false,true,false,false,false,false,true,true,true,false,false,false,false,true
2011/08/05 19:49:46.433,時岡 愛,72,女性,熊本県,2回,はい,7時間～9時間未満,いいえ,はい,ヤクルト400,はい,true,true,false,true,false,false,true,false,false,false,true,true,true,false,true,false,true,false,false
2009/06/16 12:13:11.892,高原 彩乃,53,女性,沖縄県,1回,はい,3時間～5時間未満,はい,はい,オレンジジュース,いいえ,true,false,false,true,true,true,false,true,true,false,false,true,false,false,true,true,true,false,false
2010/12/17 05:45:52.603,前崎 千夏,69,女性,和歌山県,1回,いいえ,3時間～5時間未満,はい,いいえ,,はい,false,true,true,false,false,false,false,true,false,true,false,true,false,false,true,true,false,true,false
2010/12/03 09:30:24.115,川満 麻衣,81,女性,山形県,1回,はい,5時間～7時間未満,いいえ,いいえ,,はい,true,false,true,true,true,false,false,false,false,false,true,true,true,true,true,true,false,false,false
2010/05/12 12:42:44.658,由井 早紀,22,女性,滋賀県,4回以上,はい,9時間以上,はい,はい,クラッシュタイプの蒟蒻畑ライト,いいえ,false,false,false,true,true,true,false,true,false,false,false,true,false,false,true,false,false,true,false
2010/08/16 15:04:00.363,芝本 菜月,21,女性,大分県,4回以上,いいえ,1時間～3時間未満,いいえ,いいえ,,いいえ,false,false,true,true,true,true,false,true,false,false,false,true,true,true,false,true,true,true,false
2011/04/23 18:53:48.969,高石 愛美,39,女性,山口県,3回,いいえ,1時間未満,はい,はい,ジョア　白ぶどう,はい,true,true,true,false,false,false,false,true,true,true,false,false,false,true,true,true,false,true,false
2010/11/05 13:42:53.193,久場 翼,49,男性,栃木県,3回,はい,5時間～7時間未満,はい,はい,キリン コレステミン　アセロラ味 ８袋,いいえ,false,false,false,false,true,true,true,true,false,true,false,false,false,true,true,true,true,false,false
